topic_idx,pola,topic_words
topic_12,0.4195166504673433,"mr,biden,campaign,election,party,democratic,voter,joe_biden,republican,primary"
topic_9,0.4189198553827387,"post,twitter,video,facebook,tweet,social_media,share,write,call,make"
topic_30,0.36265541382681066,"country,lockdown,government,coronavirus,measure,people,italy,restriction,travel,border"
topic_2,0.35488230346218097,"coronavirus,pandemic,federal,supply,government,make,effort,ventilator,response,agency"
topic_10,0.3338232149458762,"trump,president,white_house,donald,administration,fauci,coronavirus,vice,briefing,task_force"
topic_27,0.32427325464904433,"year,company,market,stock,price,drop,month,business,global,sale"
topic_33,0.2940635721824617,"hospital,care,health,patient,medical,covid,center,facility,home,doctor"
topic_11,0.2762980501868948,"covid,dr,coronavirus,health,disease,drug,expert,risk,treatment,director"
topic_8,0.18980015646027132,"state,order,reopen,county,california,governor,business,open,jersey,guideline"
topic_1,0.12132547286145001,"police,officer,man,black,protest,people,arrest,kill,protester,matter"
